Task ID,Description,Cost (USD),Completion Time (hours),success_label,SOC Code,instruction_entropy,artifact_coupling,title,ai_applicability_score,baseline_wage,derived_wage,wage_imputed,equilibrium_wage
public_001,Jewelry Design,50,9.0,0.15,51-9071,72161.37869822486,0.5929789382124296,Jewelers and Precious Stone and Metal Workers,0.1134031031726403,22.0,5.555555555555555,5.555555555555555,5.555555555555555
public_002,Tree Services Animated Video,80,15.0,0.1,27-1014,32278.808353808356,0.26948288696104705,Special Effects Artists and Animators,0.1313807166198247,38.0,5.333333333333333,5.333333333333333,5.333333333333333
public_003,Object Merging Game,1485,,0.02,15-1251,4007.4577822990846,4.726653298180546,Computer Programmers,0.3100317881564861,48.0,,48.0,48.0
public_004,3D Animations for Earbud Product,500,60.0,0.05,27-1014,65968.11210762332,0.7979210861617478,Special Effects Artists and Animators,0.1313807166198247,38.0,8.333333333333334,8.333333333333334,8.333333333333334
public_005,Building Vent CAD Models,180,8.0,0.03,17-3011,3038.800307219662,0.5944041045890487,Architectural and Civil Drafters,0.2220527138174632,30.0,22.5,22.5,22.5
public_006,Apartment Interior Design,1950,22.0,0.08,27-1025,21611.137931034482,3.3876559853501362,Interior Designers,0.2066579487388623,28.0,88.63636363636364,88.63636363636364,72.14999999999996
public_007,Security Audit Data Scraping,60,60.0,0.02,15-1212,1224.9310344827586,4.982982040868226,Information Security Analysts,0.2219611271797774,55.0,1.0,1.0,2.95
public_008,Music Transcription and Arrangement,500,30.0,0.12,27-2041,10238.942028985508,0.5216386693375186,Music Directors and Composers,0.1365966167965151,35.0,16.666666666666668,16.666666666666668,16.666666666666668
public_009,World Happiness Dashboard,120,,0.05,15-2051,565.6171171171171,0.5944124650739425,Data Scientists,0.3571632760219043,52.0,,52.0,52.0
public_010,LaTeX Formatting,70,12.0,0.03,43-9022,407082.611691023,5.408286193450315,Word Processors and Typists,0.2647822550496732,20.0,5.833333333333333,5.833333333333333,5.833333333333333
